Campaign,Ad group,Ad ID,Week,Ad strength,Clicks,CTR,Conv. rate,Impressions,Impression (Absolute Top) %,Impression (Top) %,Cost / conv.,Click conversion rate,Cross-device conv.,Engagements,Conversions,Cost
โลกตรายาง,กลุ่มโฆษณา ตรายางหมึกในตัว,537295603192,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,22,6.75%,4.55%,326,13.23%,56.62%,฿390.55,4.55%,0,0,1,฿390.55
โลกตรายาง,กลุ่มโฆษณา ตรายางหมึกในตัว,537295603192,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,8,4.76%,62.5%,168,21.43%,61.9%,฿35.12,62.5%,0,0,5,฿175.62
โรงพิมพ์,กลุ่มโฆษณา บิล,722056468481,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Good,1,1.61%,0%,62,17.74%,67.74%,฿0,0%,0,0,0,฿24.97
โรงพิมพ์,กลุ่มโฆษณา บิล,722056468481,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Good,1,1.92%,0%,52,3.85%,42.31%,฿0,0%,0,0,0,฿31.43
โรงพิมพ์,กลุ่มโฆษณา บิล,722056468481,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Good,6,25%,0%,24,20.83%,58.33%,฿0,0%,0,0,0,฿217.43
โรงพิมพ์,กลุ่มโฆษณา บิล,722056468481,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,3,5.66%,0%,53,13.21%,50.94%,฿0,0%,0,0,0,฿66.97
โรงพิมพ์,กลุ่มโฆษณา บิล,722056468481,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,2,3.92%,0%,51,3.92%,43.14%,฿0,0%,0,0,0,฿49.55
โรงพิมพ์,กลุ่มโฆษณา บิล,722056468481,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,3,6.12%,0%,49,6.12%,59.18%,฿0,0%,0,0,0,฿65.91
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินจีน,548923114034,"Nov 4, 2024 to Nov 10, 2024 (Week 45)",Good,14,21.88%,0%,64,32.81%,76.56%,฿0,0%,0,0,0,฿326.06
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินจีน,548923114034,"Nov 11, 2024 to Nov 17, 2024 (Week 46)",Good,5,13.89%,20%,36,22.22%,66.67%,฿104.6,20%,0,0,1,฿104.6
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินจีน,548923114034,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Good,1,4.76%,0%,21,4.76%,33.33%,฿0,0%,0,0,0,฿46.61
โรงพิมพ์,กลุ่มโฆษณา ปฏิทินจีน,548923114034,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Good,4,11.76%,0%,34,14.71%,61.76%,฿0,0%,0,0,0,฿48.4
